condition,marker,side,ap_y_mm,vertical_z_mm
walking,GT,left,164.4,32.7
walking,GT,right,155.9,29.1
walking,ELF,left,347.9,37.9
walking,ELF,right,360.3,54.0
walking,ML,left,637.0,150.0
walking,ML,right,647.5,202.5
running,GT,left,132.1,86.6
running,GT,right,125.5,95.9
running,ELF,left,402.9,87.6
running,ELF,right,419.7,100.2
running,ML,left,745.2,254.8
running,ML,right,751.7,287.2
sprint,GT,left,144.5,97.4
sprint,GT,right,113.6,99.4
sprint,ELF,left,411.6,108.1
sprint,ELF,right,440.3,118.6
sprint,ML,left,795.5,455.3
sprint,ML,right,805.8,478.2
